name,date,price,currency,raw_date,raw_price
"Caroni 1996 Velier Full Proof Heavy / Vijay 'Vijay' Ranmarine","2021-10-11",1251,"£,11.10.21,£1,251"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",500,"£,11.10.21,£500"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-10-11",226,"£,11.10.21,£226"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",500,"£,11.10.21,£500"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-10-11",230,"£,11.10.21,£230"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-10-11",505,"£,11.10.21,£505"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-10-11",230,"£,11.10.21,£230"
"Caroni 1998 Velier 17 Year Old 110 Proof","2021-10-11",275,"£,11.10.21,£275"
"Hampden DOK 2019 Rom de Luxe ex-Caroni Cask Finish / 5th Anniversary","2021-10-11",400,"£,11.10.21,£400"
"Caroni 1997 Kyoto Fine Wine and Spirits","2021-10-11",332,"£,11.10.21,£332"
"Caroni 1998 Kyoto Fine Wine and Spirits","2021-10-11",292,"£,11.10.21,£292"
"Caroni 1997 The 1423 SBS Box Set 4 x 20cl","2021-10-11",210,"£,11.10.21,£210"
"Caroni 1996 Velier Full Proof Heavy / Deodat 'Breeze' Manmohan","2021-10-11",1250,"£,11.10.21,£1,250"
"Caroni 1997 Rum Nation Small Batch Sherry Finish","2021-10-11",180,"£,11.10.21,£180"
"Caroni 1997 Rum Nation Small Batch Sherry Finish","2021-10-11",170,"£,11.10.21,£170"
"Caroni 1997 Rum Nation Small Batch Sherry Finish","2021-10-11",180,"£,11.10.21,£180"
"Caroni 1997 The 1423 SBS Box Set 4 x 20cl","2021-10-11",242,"£,11.10.21,£242"
"Caroni 1993 The 1423 SBS 'The Beast'","2021-10-11",250,"£,11.10.21,£250"
"Caroni 1992 Velier 18 Year Old Full Proof Heavy","2021-10-11",1999,"£,11.10.21,£1,999"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-10-11",230,"£,11.10.21,£230"
"Caroni 1997 Sansibar 18 Year Old","2021-10-11",185,"£,11.10.21,£185"
"Caroni 1989 Isla del Ron","2021-09-13",250,"£,13.09.21,£250"
"Caroni 1996 The Secret Treasures","2021-09-13",110,"£,13.09.21,£110"
"Caroni 1998 Rum Nation","2021-09-13",140,"£,13.09.21,£140"
"Caroni Employees Special Edition 4th Release 3 x 20 cl","2021-09-13",850,"£,13.09.21,£850"
"Caroni 1997 Whisky Agency 23 Year Old","2021-09-13",225,"£,13.09.21,£225"
"Caroni HTR 1997 Cadenhead's 20 Year Old","2021-09-13",200,"£,13.09.21,£200"
"Caroni HTR 1997 Cadenhead's 20 Year Old","2021-09-13",200,"£,13.09.21,£200"
"Caroni HTR 1997 Cadenhead's 21 Year Old","2021-09-13",180,"£,13.09.21,£180"
"Caroni HTR 1997 Cadenhead's 21 Year Old","2021-09-13",180,"£,13.09.21,£180"
"Caroni TMCG 1998 Cadenhead's 21 Year Old","2021-09-13",180,"£,13.09.21,£180"
"Caroni TMCG 1998 Cadenhead's 21 Year Old","2021-09-13",171,"£,13.09.21,£171"
"Caroni 1998 Rum Sponge 22 Year Old Edition No.1","2021-09-13",361,"£,13.09.21,£361"
"Caroni 1998 Kyoto Fine Wine and Spirits","2021-09-13",600,"£,13.09.21,£600"
"Caroni 1997 Kyoto Fine Wine and Spirits","2021-09-13",725,"£,13.09.21,£725"
"Caroni 1996 Velier 21 Year Old 100 Imperial Proof","2021-09-13",410,"£,13.09.21,£410"
"Caroni 1998 Velier 17 Year Old 110 Proof","2021-09-13",470,"£,13.09.21,£470"
"Caroni Providence 1991 Moon Import","2021-09-13",350,"£,13.09.21,£350"
"Caroni Providence 1990 Barangai 15 Year Old","2021-09-13",2200,"£,13.09.21,£2,200"
"Caroni 16 Year Old Ancient Mariner 50cl","2021-09-13",160,"£,13.09.21,£160"
"Caroni 1989 Bristol Classic","2021-09-13",525,"£,13.09.21,£525"
"Caroni 1997 Bristol Classic","2021-09-13",206,"£,13.09.21,£206"
"Caroni 1998 Bristol Classic","2021-09-13",170,"£,13.09.21,£170"
"Caroni 1974 Bristol Classic","2021-09-13",1170,"£,13.09.21,£1,170"
"Caroni 2000 Velier 12 Year Old 100 Proof","2021-09-13",240,"£,13.09.21,£240"
"Caroni 1998 Velier 17 Year Old 110 Proof","2021-09-13",410,"£,13.09.21,£410"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-09-13",380,"£,13.09.21,£380"
"Caroni 1997 Silver Seal 16 Year Old","2021-09-13",925,"£,13.09.21,£925"
"Caroni 1998 Rum Nation 2nd Batch","2021-09-13",170,"£,13.09.21,£170"
"Caroni 1997 The Auld Alliance 23 Year Old / Colheitas","2021-09-13",600,"£,13.09.21,£600"
"Caroni 1998 Rum Nation 22 Year Old Small Batch 50cl","2021-09-13",170,"£,13.09.21,£170"
"Caroni 20 Year Old That Boutique-y Rum Company Batch #2","2021-09-13",185,"£,13.09.21,£185"
"Caroni 20 Year Old That Boutique-y Rum Company Batch #1","2021-09-13",195,"£,13.09.21,£195"
"Caroni 1989 Isla del Ron","2021-09-13",240,"£,13.09.21,£240"
"Caroni 1998 Thompson Brothers 23 Year Old","2021-09-13",260,"£,13.09.21,£260"
"Caroni 1998 Velier 17 Year Old 110 Proof","2021-09-13",410,"£,13.09.21,£410"
"Caroni 1997 Whisky Krueger 18 Year Old 35cl","2021-09-13",161,"£,13.09.21,£161"
"Caroni 18 Year Old A.D. Rattray​","2021-09-13",260,"£,13.09.21,£260"
"Caroni Velier Employees 3rd Release 3 x 20cl","2021-09-13",953,"£,13.09.21,£953"
"Caroni 1997 Rum Nation Small Batch Sherry Finish","2021-09-13",250,"£,13.09.21,£250"
"Caroni 1997 Rum Nation Small Batch Sherry Finish","2021-09-13",240,"£,13.09.21,£240"
"Caroni 1997 Rum Nation Small Batch Sherry Finish","2021-09-13",250,"£,13.09.21,£250"
"Caroni 1997 Silver Seal 18 Year Old / Rum is Nature","2021-09-13",1051,"£,13.09.21,£1,051"
"Caroni 16 Year Old Ancient Mariner 50cl","2021-09-13",162,"£,13.09.21,£162"
"Caroni 2000 Velier 15 Year Old Single Cask Heavy #3783","2021-09-13",2000,"£,13.09.21,£2,000"
"Caroni 2000 Velier 18 Year Old Single Cask Heavy #R4004 / Whisky Antique","2021-09-13",1950,"£,13.09.21,£1,950"
"Caroni 2000 Velier 17 Year Old Single Cask Heavy #R4002 / Eataly","2021-09-13",1950,"£,13.09.21,£1,950"
"Caroni 1998 Tortuga No.1 22 Year Old","2021-09-13",775,"£,13.09.21,£775"
"Caroni Velier Employees 4th Release Gift Set 3 x 20cl","2021-09-13",705,"£,13.09.21,£705"
"Caroni 1998 Kyoto Fine Wine and Spirits","2021-09-13",525,"£,13.09.21,£525"
"Caroni 1997 Kyoto Fine Wine and Spirits","2021-09-13",725,"£,13.09.21,£725"
"Caroni 1997 Rum Sponge 23 Year Old Edition No.3B","2021-09-13",240,"£,13.09.21,£240"
"Caroni 1997 Bristol Classic","2021-09-13",192,"£,13.09.21,£192"
"Caroni 1997 The Rum Cask 18 Year Old","2021-09-13",250,"£,13.09.21,£250"
"Caroni 1997 Sansibar 18 Year Old","2021-09-13",210,"£,13.09.21,£210"
"Caroni 1997 Svenska Eldvatten","2021-09-13",165,"£,13.09.21,£165"
"Caroni 1999 Gleann Mor 16 Year Old","2021-09-13",219,"£,13.09.21,£219"
"Caroni 1996 Velier 20 Year Old 100 Proof Heavy","2021-09-13",1051,"£,13.09.21,£1,051"
"Caroni 1994 Velier 18 Year Old Full Proof Heavy","2021-09-13",1070,"£,13.09.21,£1,070"
"Caroni 1998 Velier 15 Year Old 104 Proof","2021-09-13",410,"£,13.09.21,£410"
"Caroni 1998 Velier 16 Year Old Full Proof Heavy","2021-09-13",875,"£,13.09.21,£875"
"Caroni 1997 Silver Seal / Wildlife Series No.2","2021-09-13",1351,"£,13.09.21,£1,351"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-09-13",976,"£,13.09.21,£976"
"Caroni Kyoto Fine Wine and Spirits 2 x 70cl","2021-09-13",1150,"£,13.09.21,£1,150"
"Caroni Kyoto Fine Wine and Spirits 2 x 70cl","2021-09-13",1150,"£,13.09.21,£1,150"
"Caroni 1996 Velier Full Proof Heavy / Vijay 'Vijay' Ranmarine","2021-09-13",1560,"£,13.09.21,£1,560"
"Caroni 1994 Velier 23 Year Old 100 Proof Heavy / Guyana Stock","2021-09-13",675,"£,13.09.21,£675"
"Caroni 1996 Velier 23 Year Old Full Proof Blended / Tasting Gang","2021-09-13",775,"£,13.09.21,£775"
"Caroni 1996 Velier 22 Year Old Full Proof Heavy / John 'D' Eversley","2021-09-13",2000,"£,13.09.21,£2,000"
"Caroni 1996 Velier 23 Year Old Full Proof Heavy / 'The Last Caroni'","2021-09-13",985,"£,13.09.21,£985"
"Caroni 1997 Spirits Shop' Selection / The Legend Collection","2021-09-13",525,"£,13.09.21,£525"
"Caroni 1998 Velier Full Proof Heavy 20cl / Ganesh 'Buju' Ramgobie","2021-09-13",775,"£,13.09.21,£775"
"Caroni 1996 Velier Full Proof Heavy / Roopnarine 'Roop' Toolsie","2021-09-13",1550,"£,13.09.21,£1,550"
"Caroni 1996 Velier Full Proof Heavy / Dhanraj 'Dan' Maharaj","2021-09-13",1450,"£,13.09.21,£1,450"
"Caroni 1996 Velier Full Proof Heavy / Deodat 'Breeze' Manmohan","2021-09-13",1400,"£,13.09.21,£1,400"
"Caroni HTR 1998 Rom Dansk Fanklub 22 Year Old Second Edition","2021-09-13",675,"£,13.09.21,£675"
